처분일자,교부번호,업소명,소재지도로명,소재지지번,지도점검일자,처분명,법적근거,위반내용
20190708,20140069920,카페0419,"서울특별시 마포구 매봉산로2길 29, (상암동)",서울특별시 마포구 상암동  21번지 1호  ,20190619,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장외 영업(1차) 시정명령
20190708,20130069104,청춘호프,"서울특별시 마포구 성암로 195-16, (상암동)",서울특별시 마포구 상암동  1292번지  1층,20190619,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장외 영업(1차) 시정명령
20190710,20080069679,의정부부대찌개,"서울특별시 마포구 월드컵북로 402, B116호 (상암동,KGIT센터)",서울특별시 마포구 상암동  1601번지  KGIT센터-B116,20190613,시정명령,법 제71조,이물혼입1차(미역국내 바퀴벌레 혼입)
20190710,20100070362,셰프 차이나,"서울특별시 마포구 상암산로1길 77, 101호 (상암동)",서울특별시 마포구 상암동  1683번지  -101,20190528,시설개수명령,"법 제71조, 법 제74조 및 법 제75조",폐기물용기 뚜껑 미설치
20190716,20170070169,더평양,"서울특별시 마포구 월드컵북로 127, (성산동, 1층)",서울특별시 마포구 성산동  54번지 7호  ,20190701,시정명령,법 제71조,배추김치 내 이물(비닐) 혼입
20190718,19990070431,손오공마라탕,"서울특별시 마포구 양화로18길 15, (동교동)",서울특별시 마포구 동교동  169번지 14호  ,20190624,시정명령,"법 제71조, 법 제72조 및 법 제75조",조리식품(마라반)에 이물(바퀴벌레) 혼입(1차)
20190726,20140070855,프롬하노이fromhanoi,"서울특별시 마포구 포은로8길 20, (망원동, 1층일부)",서울특별시 마포구 망원동  411번지 8호  1층일부,20190704,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장외 영업(1차)
20190730,20120069794,무안식당,"서울특별시 마포구 포은로2가길 65, B동 1층 (합정동, 일부)",서울특별시 마포구 합정동  392번지 3호  ,20190710,시정명령,"법 제71조, 법 제72조 및 법 제75조",영업장외 영업
20190730,20180070649,(주)21세기바다수산,"서울특별시 마포구 동교로 173, 1,2층 (동교동)",서울특별시 마포구 동교동  206번지 5호  ,20190708,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장외 영업(1차)
20190802,20110069396,접그남(접시에그림을그리는남자들),"서울특별시 마포구 어울마당로 75, (서교동,2,3층)","서울특별시 마포구 서교동  366번지 19호  2,3층",20190703,시정명령,법 제71조 및 법 제75조,상호변경신고 미이행(1차)
20190806,20130069105,크레이지 브라운,"서울특별시 마포구 백범로 35, (신수동, 서강대학교 지하캠퍼스 106호 일부)",서울특별시 마포구 신수동  1번지 1호  ,20190722,영업정지15일(8.7.~8.21.),법 제71조 및 법 제75조,"유통기한 경과된 원료 조리,판매 목적으로 보관(1차)"
20190808,20130070409,화령,"서울특별시 마포구 동교로 261, (연남동, 지하1층 일부)",서울특별시 마포구 연남동  229번지 33호  ,20190717,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장외 영업(1차)
20190809,20190069573,육미식당,"서울특별시 마포구 신촌로 220, 신성빌딩 1층 (아현동)",서울특별시 마포구 아현동  353번지 11호  신성빌딩,20190723,시설개수명령,"법 제71조, 법 제74조 및 법 제75조",음식물폐기물 용기 미설치
20190814,20190070197,옛날장터치킨,"서울특별시 마포구 모래내로3길 2, 성산동성아파트 상가동 103호 (성산동)",서울특별시 마포구 성산동  597번지  성산동성아파트,20190722,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장외 영업(1차)
20190816,20170070288,야식이,"서울특별시 마포구 월드컵북로 34, (동교동, 1층일부)",서울특별시 마포구 동교동  205번지 3호  ,20190723,시정명령,"법 제71조, 법 제72조 및 법 제75조",조리식품(족발도시락 내 맛탕)에 이물(곰팡이) 혼입
20190819,20150070227,제시카알바,"서울특별시 마포구 동교로 191, (동교동, D.B.M 지1층일부)",서울특별시 마포구 동교동  200번지 30호  D.B.M 지1층일부,20190715,시설개수명령,"법 제71조, 법 제74조 및 법 제75조",타업종과 시설 미분리(1차) 시설개수명령
20190819,20160069767,라,"서울특별시 마포구 동교로 207, (동교동, 지1층일부)",서울특별시 마포구 동교동  199번지 1호  지1층일부,20190717,시설개수명령,"법 제71조, 법 제74조 및 법 제75조",타업종과 시설 미분리(1차)
20190820,19930069976,털보고된이,"서울특별시 마포구 양화로 178-8, (동교동,1층)",서울특별시 마포구 동교동  166번지 3호  1층,20190801,시정명령,"법 제71조, 법 제74조 및 법 제75조",내수성 재질의 뚜껑이 없는 폐기물 용기 사용
20190821,20100069707,황금옥순대,"서울특별시 마포구 월드컵로25길 33, (망원동,1층)",서울특별시 마포구 망원동  483번지 17호  1층,20190802,시정명령,"법 제71조, 법 제72조 및 법 제75조",이물혼입
20190823,20170070407,신룽푸홍대지점,"서울특별시 마포구 홍익로 10, (서교동, 서교푸르지오 101동 114~115호)",서울특별시 마포구 서교동  486번지  서교푸르지오 101동 114~115호,20190710,영업정지7일 갈음 과징금 546만원 부과,법 제75조,제조년월일 미표시
20190826,20080069638,이승화돈부리,"서울특별시 마포구 잔다리로6길 40-8, 지하1, 1층 (서교동)","서울특별시 마포구 서교동  366번지 18호  지하1층, 1층",20190806,과징금부과 1590만원,법 제71조 및 법 제75조,유통기한 경과제품 조리판매 목적으로 보관
20190828,20110070458,포크돈까스도시락,"서울특별시 마포구 월드컵북로27길 13, (성산동)",서울특별시 마포구 성산동  200번지 33호  2층 일부,20190805,시정명령,"법 제71조, 법 제72조 및 법 제75조",메뉴(냉모밀)에 이물(모기 다리)혼입
20190905,20180069368,신룽푸마라탕상암점,"서울특별시 마포구 월드컵북로54길 25, 상암DMC푸르지오시티, S-City B1층 115,116,117호 (상암동)","서울특별시 마포구 상암동  1596번지  상암DMC푸르지오시티, S-City",20190813,시설개수명령,"법 제71조, 법 제74조 및 법 제75조",내수성 재질의 뚜껑있는 폐기물용기 미설치(1차)
20190905,20180070947,소고산제일루 Express,"서울특별시 마포구 신촌로12길 37, 1층 (노고산동)",서울특별시 마포구 노고산동  56번지 38호  ,20190816,시정명령,"법 제71조, 법 제72조 및 법 제75조",메뉴(마라탕)에 이물(바퀴벌레)혼입
20190909,20180069175,우리식당,"서울특별시 마포구 동교로27길 81, 1층 (연남동)",서울특별시 마포구 연남동  562번지 25호  ,20190820,시설개수명령,"법 제71조, 법 제72조 및 법 제75조",음식물 폐기물 용기 미설치 1차
20190916,20120070155,이자와홍대상수점,"서울특별시 마포구 와우산로13길 25, (상수동, 1층)",서울특별시 마포구 상수동  92번지 9호  ,20190813,과태료부과,법 제101조제2항제1호 및 영 제67조,위생모미착용(1차)
20190930,20180069207,아라카르트(ALACARTE),"서울특별시 마포구 동교로 256-3, 미소빌딩 1층 (연남동)",서울특별시 마포구 연남동  228번지 34호  미소빌딩,20190828,영업정지2개월 갈음 과징금780만원부과,법 제72조 및 법 제75조,수입신고되지 않은 식품을 조리에 사용함
20190930,20150069856,연남동술집,"서울특별시 마포구 동교로 251, (연남동, 1층일부)",서울특별시 마포구 연남동  255번지 20호  1층일부,20190829,시정명령,"법 제71조, 법 제74조 및 법 제75조",영업장외영업(1차)
20190930,20180069597,미대오빠,"서울특별시 마포구 동교로38길 33-15, 1층일부 (연남동)",서울특별시 마포구 연남동  390번지 30호  ,20190830,시설개수명령,"법 제71조, 법 제72조 및 법 제75조",음식물 폐기물 용기 미설치
20191001,20140070504,또보겠지호호시스터점,"서울특별시 마포구 양화로6길 45, 201호 (서교동)",서울특별시 마포구 서교동  396번지 32호  ,20190910,시정명령,"법 제71조, 법 제72조 및 법 제75조",이물혼입(1차) : 조리식품(떡볶이)에 이물(검정비닐)이 혼입됨.
20191001,20150069218,망원동돼지국밥,"서울특별시 마포구 동교로9길 71, (망원동, 1층)",서울특별시 마포구 망원동  57번지 13호  1층,20190903,시설개수명령,"법 제71조, 법 제74조,법 제75조 및 법 제76조",조리장내 음식물 폐기물 용기 미설치
20191010,20120069567,대박치킨,"서울특별시 마포구 백범로16길 26, 1층 (대흥동)",서울특별시 마포구 대흥동  327번지 1호  ,20190711,과징금부과 600만원,법 제71조 및 법 제75조,업소 안에서 도박이나 그 밖의 사행행위 또는 풍기문란행위를 방지하지 않음(1차)
20191015,20110069616,명가네가정식,"서울특별시 마포구 동교로19길 66, (서교동, 1층일부)",서울특별시 마포구 서교동  247번지 202호  1층일부,20190920,과태료부과 24만원,법 제18조제1항제1호,돼지고기 원산지 미표시 (1차)
20191023,20190069773,고도,"서울특별시 마포구 월드컵북로 121-8, 동산빌딩 1층 101호 (성산동)",서울특별시 마포구 성산동  54번지 18호  동산빌딩,20190905,과징금부과,법 제72조 및 법 제75조,수입신고되지 않은 제품을 조리에 사용 및 보관
20191104,20170070290,피자 네버 슬립스 PIZZA NEVER SLEEPS(PNS),"서울특별시 마포구 양화로6길 73, (서교동, 4층일부)",서울특별시 마포구 서교동  400번지 13호  ,20191011,과태료24만원부과,법 제18조제1항제1호,닭고기 원산지 미표시(1차)
